,序号,姓名,所属公司,现任基金,累计从业时间,现任基金最佳回报,现任基金资产总规模
18,19,蔡滨,博时基金,"博时产业新动力混合A,博时外延增长主题灵活配置混合,博时逆向投资混合A,博时逆向投资混合C,博时战略新兴产业混合,博时产业新动力混合C,博时荣享回报混合A,博时荣享回报混合C,博时产业新趋势混合A,博时产业新趋势混合C,博时产业精选混合A,博时产业精选混合C,博时产业慧选混合A,博时产业慧选混合C",2274,194.23,93.42
19,20,陈博,上银基金,"上银鑫达混合,上银未来生活灵活配置混合,上银丰益混合A,上银丰益混合C",409,74.38,6.06
20,21,陈保国,西部利得基金,"西部利得景瑞灵活配置混合C,西部利得成长精选混合,西部利得景瑞灵活配置混合A,西部利得景程混合A,西部利得景程混合C",397,59.03,5.61
21,22,陈伯祯,银河基金,"银河臻优稳健配置混合A,银河臻优稳健配置混合C,银河龙头股票,银河中证沪港深高股息A,银河中证沪港深高股息C,银河鑫利混合I,银河转型混合,银河鑫利混合A,银河鑫利混合C",996,34.83,22.88
22,23,陈晨,东吴基金,"东吴优益债券A,东吴优益债券C,东吴悦秀纯债债券A,东吴悦秀纯债债券C,东吴鼎泰纯债债券,东吴瑞盈63个月定开债",2110,7.22,65.46
23,24,陈晨,华泰证券(上海),"华泰紫金智惠定开债券A,华泰紫金智惠定开债券C,华泰紫金季季享定开债A,华泰紫金季季享定开债C,华泰紫金丰益中短债A,华泰紫金丰益中短债C,华泰紫金丰利中短债发起A,华泰紫金丰利中短债发起C,华泰紫金月月购3月滚动债A,华泰紫金月月购3月滚动债C,华泰紫金周周购3月滚动债A,华泰紫金周周购3月滚动债C,华泰紫金中债1-5年国开债指数A,华泰紫金中债1-5年国开债指数C,华泰紫金周周购12个月滚动债发起A,华泰紫金周周购12个月滚动债发起C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金丰睿债券发起A,华泰紫金丰睿债券发起C",743,9.89,156.16
24,25,陈臣,圆信永丰基金,"圆信永丰优选价值A,圆信永丰优选价值C",304,46.64,5.91
25,26,蔡春红,新华基金,"新华稳健回报混合发起式,新华钻石品质企业混合",2066,88.64,4.33
26,27,曹春林,创金合信基金,"创金合信优选回报灵活配置混合,创金合信新能源汽车股票A,创金合信新能源汽车股票C,创金合信鑫益混合A,创金合信鑫益混合C,创金合信汇融一年定开混合A,创金合信汇融一年定开混合C,创金合信汇悦一年定开混合A,创金合信汇悦一年定开混合C,创金气候变化责任投资股票A,创金气候变化责任投资股票C,创金合信数字经济主题股票A,创金合信数字经济主题股票C,创金合信积极成长股票A,创金合信积极成长股票C",1350,103.46,25.63
27,28,崔宸龙,前海开源基金,"前海开源新经济混合,前海开源公用事业股票,前海开源沪港深非周期股票A,前海开源沪港深非周期股票C",241,41.58,6.74
28,29,池陈森,安信基金,"安信医药健康股票A,安信医药健康股票C",65,-1.06,2.69
29,30,陈栋,光大保德信基金,"光大银发商机混合,光大欣鑫混合A,光大欣鑫混合C,光大安和债券A,光大安和债券C,光大事件驱动混合,光大中小盘混合",2165,93.19,73.16
30,31,蔡丹,宝盈基金,"宝盈中证100指数增强C,宝盈策略增长混合,宝盈中证100指数增强A",1321,87.38,22.79
31,32,车飞,上海光大证券资产管理,"光大阳光稳健增长混合A,光大阳光稳债中短债债券A,光大阳光稳债中短债债券C,光大阳光稳健增长混合C",219,1.87,19.62
32,33,程放,长信基金,"长信先优债券,长信利发债券",77,0.37,26.86
33,34,陈芳菲,上银基金,"上银政策性金融债,上银慧恒收益增强债券",1092,1.18,21.44
34,35,陈方雷,中金基金,"中金衡盈混合A,中金衡盈混合C,中金衡利1年定开债",184,0.41,12.56
35,36,陈富权,农银汇理基金,"农银行业成长混合,农银平衡双利混合,农银策略价值混合",2766,245.31,31.94
36,37,陈钢,天弘基金,"天弘鑫利三年定开,天弘季季兴三个月定开A,天弘季季兴三个月定开C,天弘聚新三个月定开A,天弘聚新三个月定开C,天弘睿新三个月定开A,天弘睿新三个月定开C",3167,7.15,145.34
37,38,陈桂都,工银瑞信基金,"工银中高等级信用债债券A,工银中高等级信用债债券B,工银泰享三年理财债券,工银恒享纯债债券,工银丰淳半年定开债券,工银瑞景定开发起式债券,工银瑞泽定开债券,工银瑞弘3个月定开债,工银瑞安3个月定开纯债债券,工银泰颐三年定开债券A,工银泰颐三年定开债券C,工银瑞达一年定开纯债发起式",1658,17.17,631.30
38,39,陈鹄飞,中银基金,"中银睿享定开债券,中银丰实定开债,中银利享定期开放债券,中银稳汇短债债券A,中银稳汇短债债券C,中银添盛39个月定期开放债券,中银稳汇短债债券E",513,5.36,350.68
39,40,陈国光,天弘基金,"天弘互联网混合,天弘新价值混合,天弘策略精选混合A,天弘策略精选混合C,天弘弘新混合发起式,天弘创新领航A,天弘创新领航C,天弘创新成长混合发起式A,天弘创新成长混合发起式C",3097,56.86,53.10
40,41,陈顾君,浙商证券资管,浙商汇金中证转型成长指数,422,14.70,0.15
41,42,车广路,湘财基金,"湘财长顺混合发起式A,湘财长顺混合发起式C,湘财长兴灵活配置混合A,湘财长兴灵活配置混合C,湘财长泽灵活配置混合A,湘财长泽灵活配置混合C,湘财长弘灵活配置混合A,湘财长弘灵活配置混合C,湘财创新成长一年持有期混合A,湘财创新成长一年持有期混合C",3171,60.43,15.04
42,43,蔡国亮,兴银基金,兴银消费新趋势灵活配置,70,-3.96,0.13
43,44,陈亘斯,长盛基金,"长盛同鑫行业配置混合C,长盛同鑫行业配置混合A,长盛中小盘精选混合,长盛同庆中证800(LOF),长盛沪深300指数(LOF),长盛中证金融地产指数(LOF),长盛中证申万一带一路指数(LOF),长盛上证50指数(LOF),长盛中证全指证券指数(LOF),长盛中证100指数",658,62.45,23.02
44,45,陈皓,易方达基金,"易方达新经济混合,易方达均衡成长股票,易方达平稳增长混合,易方达科翔混合,易方达科讯混合,易方达创新未来18个月封闭混合",3093,421.08,400.96
45,46,陈恒,华商基金,"华商新动力混合,华商医药医疗行业股票",1331,30.91,3.50
46,47,陈涵,工银瑞信基金,"工银全球美元债A人民币,工银全球美元债A美元现汇,工银全球美元债C,工银国债(7-10年)指数A,工银国债(7-10年)指数C,工银瑞信添慧债券A,工银瑞信添慧债券C,工银3-5年国开债指数A,工银3-5年国开债指数C,工银1-3年国开债指数A,工银1-3年国开债指数C,工银1-3年农发债指数A,工银1-3年农发债指数C,工银中债1-5年进出口行A,工银中债1-5年进出口行C,工银彭博国开债1-3年指数A,工银彭博国开债1-3年指数C",637,6.13,180.15
47,48,陈红,兴证全球基金,"兴全汇虹一年持有混合A,兴全汇虹一年持有混合C,兴全汇吉一年持有混合A,兴全汇吉一年持有混合C",45,-2.62,36.86
48,49,陈皓,北信瑞丰,"北信瑞丰宜投宝A,北信瑞丰宜投宝B",10,0.05,53.16
49,50,程卉超,合煦智远基金,"合煦智远消费主题股票发起式A,合煦智远消费主题股票发起式C",624,44.81,0.25
50,1,陈鸿平,中邮基金,中邮沪港深精选混合,721,21.18,0.06
51,2,陈会荣,大成基金,"大成丰财宝货币A,大成丰财宝货币B,大成添利宝货币A,大成添利宝货币B,大成添利宝货币E,大成月添利债券E,大成景荣债券A,大成景荣债券C,大成惠益纯债,大成惠祥纯债债券,大成惠享一年定开债券,大成货币A,大成月添利债券A,大成现金增利货币A,大成货币B,大成月添利债券B,大成现金增利货币B",1685,15.21,619.76
52,3,曹晋,富国基金,"富国中小盘精选混合,富国成长动力混合,富国通胀通缩主题轮动混合,富国创业板两年定开混合",2765,194.90,90.74
53,4,陈军,东吴基金,"东吴兴享成长混合A,东吴兴享成长混合C",5011,-5.01,34.63
54,5,成钧,平安基金,"平安股息精选沪港深A,平安股息精选沪港深C,平安300ETF联接A,平安300ETF联接C,平安MSCI中国A股ETF联接A,平安MSCI中国A股ETF联接C,平安500ETF联接A,平安500ETF联接C,平安创业板ETF联接A,平安创业板ETF联接C,平安创业板ETF,平安中债-0-5年地方债ETF,平安沪深300ETF,平安中证500ETF,平安中证5-10年国债活跃券ETF,平安中债债利差因子ETF,平安MSCI中国A股国际ETF,平安粤港澳大湾区ETF",1179,65.12,136.17
55,6,蔡静,中银基金,"中银薪钱包货币,中银机构现金管理货币,中银瑞福浮动净值型货币A,中银瑞福浮动净值型货币C,中银货币A,中银货币B",381,2.20,236.76
56,7,崔建波,方正富邦基金,"方正富邦新兴成长混合A,方正富邦新兴成长混合C,方正富邦策略精选A,方正富邦策略精选C,方正富邦汇福一年定开混合A,方正富邦汇福一年定开混合C",3872,8.45,19.44
57,8,陈健宾,景顺长城基金,"景顺长城睿成混合A,景顺长城睿成混合C,景顺长城泰恒回报混合A,景顺长城泰恒回报混合C,景顺长城景泰聚利纯债,景顺长城景泰纯利债券",19,0.15,35.82
58,9,陈健夫,摩根士丹利华鑫基金,"大摩量化配置混合C,大摩量化配置混合A",960,45.74,3.45
59,10,陈建华,华宝基金,"华宝中证100指数C,华宝中证金融科技主题ETF,华宝有色金属ETF,华宝中证100指数A,华宝化工ETF",3008,192.52,26.99
60,11,陈俊华,交银施罗德基金,"交银核心资产混合,交银鸿福六个月持有混合A,交银鸿福六个月持有混合C,交银鸿光一年混合A,交银鸿光一年混合C,交银环球精选混合(QDII),交银沪港深价值精选混合",1944,141.08,63.81
61,12,陈建华,国联安基金,"国联安鑫乾混合A,国联安鑫乾混合C,国联安鑫隆混合A,国联安鑫隆混合C,国联安恒利63个月定开债A,国联安恒利63个月定开债C,国联安增盛一年定开债,国联安增泰一年定开债发起式,国联安增利债券A,国联安增利债券B",849,81.72,97.54
62,13,崔俊杰,景顺长城基金,"景顺长城研究精选股票,景顺中证科技传媒通信150ETF联接,景顺长城睿成混合A,景顺长城睿成混合C,景顺长城支柱产业混合,景顺中证科技传媒通信150ETF",2694,14.25,23.14
63,14,陈纪靖,红塔红土,"红塔红土瑞祥纯债A,红塔红土瑞祥纯债C,红塔红土盛兴39个月定开债A,红塔红土盛兴39个月定开债C,红塔红土瑞景纯债A,红塔红土瑞景纯债C",735,1.82,22.51
64,15,陈建军,创金合信基金,"创金合信消费主题股票A,创金合信消费主题股票C",658,91.12,1.07
65,16,陈建良,建信基金,"建信嘉薪宝货币A,建信现金添利货币A,建信嘉薪宝货币B,建信现金增利货币A,建信现金添益货币A,建信现金添利货币B,建信货币B,建信天添益货币A,建信天添益货币B,建信天添益货币C,建信结算宝货币,建信短债债券F,建信现金增利货币B,建信现金添益货币H,建信货币A,建信短债债券C,建信短债债券A",2655,25.64,3124.25
66,17,蔡健林,汇添富基金,"汇添富养老2030混合(FOF),汇添富养老2040五年持有混合(FOF),汇添富养老2050混合(FOF)",812,52.50,13.61
67,18,陈觉平,东方红资产管理,"东方红鑫裕两年定开信用债,东方红鑫安39个月定开债券,东方红招盈甄选一年混合A,东方红招盈甄选一年混合C,东方红明鉴优选两年定开混合,东方红创新优选定开混合,东方红均衡优选定开混合",996,33.82,118.98
68,19,曹进前,南华基金,"南华瑞恒中短债债券A,南华瑞恒中短债债券C,南华瑞元定期开放债券,南华价值启航纯债债券A,南华价值启航纯债债券C,南华瑞泽债券A,南华瑞泽债券C,南华瑞泰39个月定开A,南华瑞泰39个月定开C",1178,10.24,7.27
69,20,陈健玮,汇添富基金,"添富沪港深大盘价值混合,汇添富沪港深优势定开",1129,71.73,12.12
70,21,陈金伟,宝盈基金,"宝盈新兴产业混合,宝盈优势产业混合,宝盈国家安全沪港深股票",117,7.61,15.44
71,22,陈佳昀,万家基金,"万家现金宝A,万家鑫瑞纯债A,万家鑫瑞纯债E,万家现金宝B,万家可转债债券A,万家可转债债券C,万家添利债券(LOF),万家稳健增利债券A,万家稳健增利债券C",1382,25.38,209.96
72,23,程琨,广发基金,"广发逆向策略混合A,广发优企精选混合A,广发优企精选混合C,广发逆向策略混合C,广发核心精选混合,广发行业领先混合A",2963,220.00,53.66
73,24,蔡卡尔,富国基金,"富国港股通量化精选股票型,富国细分机械设备产业主题ETF,富国中证医药主题指数增强,富国中证高端制造指数增强型,富国中证大数据产业ETF",1532,112.11,12.48
74,25,陈凯杨,博时基金,"博时双月薪定期支付债券,博时信用债纯债债券C,博时聚瑞6个月定开债,博时富益纯债债券,博时富乐纯债债券,博时富添纯债债券,博时富信纯债债券,博时稳定价值债券B,博时信用债纯债债券A,博时稳定价值债券A,博时安康定开债(LOF)",3024,77.37,132.80
75,26,陈立,金鹰基金,"金鹰内需成长混合A,金鹰内需成长混合C,金鹰稳健成长混合,金鹰主题优势混合",2772,195.03,17.67
76,27,陈梁,中邮基金,"中邮消费升级,中邮军民融合灵活配置混合,中邮瑞享两年定开混合A,中邮瑞享两年定开混合C,中邮核心优选混合,中邮核心主题混合",2429,77.68,40.25
77,28,陈龙,鹏华基金,"鹏华中证500ETF联接A,鹏华中证500ETF联接C,鹏华空天军工指数(LOF)C,鹏华中证畜牧养殖ETF,鹏华中证500ETF,鹏华国证证券龙头ETF,鹏华证券保险指数(LOF),鹏华中证国防指数(LOF),鹏华中证全指证券公司指数(LOF),鹏华空天军工指数(LOF)A",1733,40.74,128.05
78,29,陈雷,博时基金,"博时内需增长混合,博时行业轮动混合",2393,136.95,5.78
79,30,陈利,华泰证券(上海),"华泰紫金天天金交易型货币B,华泰紫金零钱宝货币,华泰紫金月月购3月滚动债A,华泰紫金月月购3月滚动债C,华泰紫金周周购12个月滚动债发起A,华泰紫金周周购12个月滚动债发起C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金天天金交易型货币A",1588,7.83,115.71
80,31,陈乐,南方基金,"南方利淘A,南方利鑫A,南方利鑫C,南方利淘C,南方瑞利灵活配置混合,南方融尚再融资混合,南方誉丰18个月混合A,南方誉丰18个月混合C,南方誉隆一年混合A,南方誉隆一年混合C,南方誉尚一年持有期混合A,南方誉尚一年持有期混合C,南方宝顺混合A,南方宝顺混合C,南方誉享一年持有期混合A,南方誉享一年持有期混合C",1174,82.16,74.27
81,32,陈黎,博时基金,"博时月月薪定期支付债券,博时裕丰纯债3个月定开债,博时裕达纯债债券,博时裕康纯债债券,博时裕景纯债,博时裕弘纯债债券,博时安怡6个月,博时裕利纯债债券,博时聚盈纯债债券,博时聚润纯债债券,博时景发纯债债券,博时富祥纯债债券A,博时慧选纯债定开债,博时裕鹏纯债债券,博时富元纯债债券,博时富兴纯债3个月定开债发起式,博时富融纯债债券,博时富汇3个月定开债发起式,博时富顺纯债债券,博时富信纯债债券,博时稳悦63个月定开债,博时富祥纯债债券C",1074,12.16,408.75
82,33,崔蕾,南方基金,"南方大数据300A,南方大数据300C,南方中证500量化增强A,南方中证500量化增强C,南方小康ETF联接C,南方有色金属ETF联接A,南方有色金属ETF联接C,南方大盘红利50ETF联接A,南方大盘红利50ETF联接C,南方粤港澳大湾区ETF联接A,南方粤港澳大湾区ETF联接C,南方有色金属ETF联接E,南方粤港澳大湾区ETF,南方小康ETF联接A,中证南方小康产业指数ETF,南方中证1000ETF,南方中证申万有色金属ETF,南方顶峰TOPIX-ETF,南方中国A股大盘红利低波50ETF",861,70.67,93.17
83,34,常璐,太平基金,"太平灵活配置,太平智选一年定开股票",359,32.59,27.01
84,35,陈岚,中信保诚基金,"信诚惠盈债券A,信诚惠盈债券C,中信保诚安鑫回报债券A,中信保诚安鑫回报债券C,信诚增强收益债券(LOF)",231,6.60,22.04
85,36,陈荔,中融基金,"中融融安混合,中融新机遇混合,中融鑫起点混合A,中融鑫起点混合C,中融融安混合二号,中融鑫思路混合A,中融鑫思路混合C,中融鑫价值混合A,中融鑫价值混合C,中融沪港深大消费主题A,中融沪港深大消费主题C",204,11.93,11.03
86,37,陈令朝,鑫元基金,"鑫元鑫新收益灵活配置混合A,鑫元鑫新收益灵活配置混合C,鑫元行业轮动混合A,鑫元行业轮动混合C",1164,29.20,1.45
87,38,陈良栋,长城基金,"长城新兴产业混合,长城久富混合(LOF)",1938,113.82,12.89
88,39,曹璐迪,富国基金,"富国中证价值ETF联接A,富国中证价值ETF联接C,富国恒生中国企业ETF,富国创业板ETF,富国中证价值ETF,富国中证细分化工产业主题ETF",302,38.82,25.61
89,40,陈乐华,新沃基金,"新沃通盈灵活配置混合,新沃创新领航混合A,新沃创新领航混合C",1828,69.89,4.53
90,41,蔡旻,长城基金,"长城恒康稳健养老一年(FOF),长城恒泰养老2040三年持有混合(FOF)",2208,-0.57,6.14
91,42,程敏,北信瑞丰,"北信瑞丰研究精选,北信瑞丰量化优选灵活配置",1088,64.69,1.11
92,43,陈旻,申万宏源证券,申万红利成长灵活配置混合,58,-4.97,--
93,44,陈蒙,西部利得基金,"西部利得景程混合A,西部利得景程混合C",19,-4.77,1.01
94,45,曹名长,中欧基金,"中欧潜力价值灵活配置混合A,中欧价值发现混合E,中欧成长优选混合E,中欧价值发现混合C,中欧潜力价值灵活配置混合C,中欧价值发现混合A,中欧成长优选混合A,中欧恒利三年定期开放混合",5199,91.68,54.68
95,46,蔡目荣,华宝基金,"华宝价值发现混合,华宝资源优选混合C,华宝多策略增长开放,华宝资源优选混合A",3131,181.27,28.40
96,47,成念良,景顺长城基金,"景顺长城政策性金融债,景顺长城景泰丰利纯债A,景顺长城景泰丰利纯债C,景顺长城景泰稳利定开债A,景顺长城景泰稳利定开债C,景顺长城中债3-5年政策性金融债指数A,景顺长城中债3-5年政策性金融债指数C,景顺长城弘利39个月定开债,景顺长城景泰裕利纯债债券,景顺长城中债1-3年国开行债券指数A,景顺长城中债1-3年国开行债券指数C,景顺长城景泰益利纯债债券",1924,30.37,225.67
97,48,陈平,汇丰晋信基金,"汇丰晋信新动力混合,汇丰晋信创新先锋,汇丰晋信科技先锋股票",2063,52.65,19.00
98,49,陈鹏,安信基金,"安信新回报混合A,安信新回报混合C,安信成长精选混合A,安信成长精选混合C",4439,83.52,22.43
99,50,陈鹏辉,浙商基金,"浙商智选经济动能混合A,浙商智选经济动能混合C,浙商智选家居股票A,浙商智选家居股票C,浙商智选食品饮料股票A,浙商智选食品饮料股票C,浙商聚潮新思维混合",596,82.19,24.38
100,1,陈鹏扬,博时基金,"博时裕隆灵活配置混合,博时成长优选两年封闭混合A,博时成长优选两年封闭混合C,博时荣升稳健添利混合A,博时荣升稳健添利混合C,博时价值臻选持有期混合A,博时价值臻选持有期混合C,博时成长领航混合A,博时成长领航混合C,博时恒悦6个月持有混合A,博时恒悦6个月持有混合C,博时成长精选混合A,博时成长精选混合C,博时弘泰混合",2033,187.78,186.01
101,2,蔡青,中信证券,"中信证券稳健回报混合A,中信证券稳健回报混合C",1141,-7.21,23.32
102,3,储荞,红土创新基金,"红土创新沪深300增强A,红土创新沪深300增强C,红土创新中证500增强A,红土创新中证500增强C",752,56.13,0.88
103,4,陈奇,华富基金,"华富物联世界灵活配置混合,华富产业升级灵活配置混合",514,64.13,3.21
104,5,陈启明,华富基金,"华富产业升级灵活配置混合,华富天鑫灵活配置混合A,华富天鑫灵活配置混合C,华富成长企业精选股票,华富成长趋势混合,华富价值增长混合",2365,272.37,33.03
105,6,蔡荣成,易方达基金,"易方达策略成长混合,易方达策略成长二号混合",689,12.05,24.12
106,7,陈若劲,红土创新基金,"红土创新增强收益债券A,红土创新增强收益债券C,红土创新稳健混合A,红土创新稳健混合C,红土创新稳进混合A,红土创新稳进混合C",4093,27.04,6.44
107,8,蔡若林,汇丰晋信基金,"汇丰晋信慧盈混合,汇丰晋信惠安纯债63个月定开债,汇丰晋信2016周期混合,汇丰晋信平稳增利中短债A,汇丰晋信平稳增利中短债C",1874,18.75,51.11
108,9,车日楠,东方基金,"东方多策略灵活配置混合C,东方臻享纯债债券A,东方臻享纯债债券C,东方臻选纯债债券A,东方臻选纯债债券C,东方多策略灵活配置混合A",322,-1.12,18.24
109,10,曹思,中邮基金,"中邮核心科技创新灵活配置混合,中邮中小盘灵活配置混合",2487,45.30,6.61
110,11,程书峰,长城基金,"长城货币E,长城收益宝货币A,长城收益宝货币B,长城泰丰纯债A,长城泰丰纯债C,长城优选增强六个月持有混合A,长城优选增强六个月持有混合C,长城货币A,长城货币B",568,4.79,757.19
111,12,陈士俊,浦银安盛基金,"浦银安盛量化多策略混合A,浦银安盛量化多策略混合C,浦银安盛中证高股息ETF联接A,浦银安盛中证高股息ETF联接C,浦银安盛MSCI中国A股ETF联接A,浦银安盛MSCI中国A股ETF联接C,浦银安盛创业板ETF,浦银安盛沪港深基本面100,浦银安盛中证高股息ETF,浦银安盛MSCI中国A股ETF,浦银安盛沪深300指数增强,浦银安盛基本面400指数",3751,138.60,20.16
112,13,陈诗昆,中金基金,"中金衡优灵活配置混合A,中金衡优灵活配置混合C,中金衡益增强债券A,中金衡益增强债券C,中金衡利1年定开债",818,38.32,16.98
113,14,陈曙亮,浦银安盛基金,"浦银颐和稳健养老一年(FOF)A,浦银颐和稳健养老一年(FOF)C",1890,3.13,20.82
114,15,陈少平,广发基金,广发改革混合,4948,103.31,5.44
115,16,蔡嵩松,诺安基金,"诺安和鑫灵活配置混合,诺安成长混合",757,114.05,409.92
116,17,崔书田,光大保德信基金,光大中国制造2025混合,260,35.12,11.58
117,18,崔思维,嘉实基金,"嘉实中证金边国债ETF联接A,嘉实中证金边国债ETF联接C,嘉实稳荣债券,嘉实稳熙纯债债券,嘉实致元42个月定期债券,嘉实商业银行精选债券,嘉实中债3-5年国开债指数A,嘉实中债3-5年国开债指数C,嘉实彭博国开债1-5年指数A,嘉实彭博国开债1-5年指数C,嘉实中证中期国债ETF",1351,17.40,152.92
118,19,陈舒薇,交银施罗德基金,交银环球精选混合(QDII),435,25.65,1.20
119,20,陈思郁,上投摩根基金,"上投摩根安全战略股票,上投摩根双核平衡混合",2053,118.47,16.86
120,21,陈斯扬,富国基金,"富国丰利增强债券,富国宝利增强债券,富国兴利增强债券,富国中证10年期国债ETF",1095,32.99,6.00
121,22,程桯,银华基金,"银华估值优势混合,银华裕利混合发起式,银华港股通精选股票发起式,银华招利一年持有期混合A,银华招利一年持有期混合C,银华大盘两年定开混合",1876,85.62,51.22
122,23,成涛,融通基金,融通中国概念债券,1162,18.88,2.01
123,24,陈涛,嘉实基金,嘉实成长增强混合,229,1.78,9.42
124,25,程同朦,方正富邦基金,"方正富邦金小宝货币,方正富邦惠利纯债A,方正富邦惠利纯债C,方正富邦睿利纯债A,方正富邦睿利纯债C,方正富邦丰利债券A,方正富邦丰利债券C,方正富邦富利纯债A,方正富邦富利纯债C,方正富邦恒利纯债A,方正富邦恒利纯债C,方正富邦货币A,方正富邦货币B",735,15.90,214.31
125,26,陈玮,中银基金,"中银中高等级A,中银中高等级C,中银添利债券发起C,中银添利债券发起E,中银招利债券A,中银招利债券C,中银恒优12个月持有期债券A,中银恒优12个月持有期债券C,中银纯债债券A,中银纯债债券C,中银添利债券发起A",2269,49.93,166.87
126,27,陈玮,中海基金,"中海沪港深价值优选混合,中海沪港深多策略灵活配置混合",608,42.29,0.66
127,28,陈伟,博时基金,"博时恒康持有期混合A,博时恒康持有期混合C,博时睿远",505,91.69,4.59
128,29,陈文,淳厚基金,"淳厚信睿混合A,淳厚信睿混合C,淳厚欣享一年持有期混合A,淳厚欣享一年持有期混合C",301,49.36,25.47
129,30,陈蔚丰,浦银安盛基金,"浦银安盛红利精选混合,浦银安盛增长动力混合,浦银安盛医疗健康混合",2124,117.33,22.63
130,31,陈卫国,安信基金,"安信盈利驱动股票A,安信盈利驱动股票C",36,-10.09,2.19
131,32,曹巍浩,新华基金,"新华双利债券A,新华双利债券C,新华鼎利债券A,新华鼎利债券C,新华纯债添利债券发起B,新华纯债添利债券发起A,新华纯债添利债券发起C,新华安享惠金定期债券A,新华安享惠金定期债券C",100,0.58,52.59
132,33,蔡玮菁,国投瑞银基金,"国投瑞银稳定增利债券,国投瑞银优化增强债券A/B,国投瑞银优化增强债券C",2207,31.58,26.42
133,34,曹文俊,富国基金,"富国转型机遇混合,富国优质发展混合A,富国优质发展混合C,富国稳健策略6个月持有混合A,富国稳健策略6个月持有混合C,富国低碳环保混合",2463,123.59,62.92
134,35,陈威霖,景顺长城基金,"景顺长城景益货币A,景顺长城景益货币B,景顺长城景丰货币A,景顺长城景丰货币B,景顺货币A,景顺货币B",1793,15.81,1433.95
